listing,price,brand,size
Prada Saffiano Continental Wallet in Lilac Full Inclusion EUC,195.0,Prada,OS
Madewell The Knotted Crossbody Bag in Woven Leather,85.0,Madewell,OS
Pink Vintage purse clutch wallet rose pink 1960s Gorgeous! Classic,21.0,Vintage,OS
Michael Kors Whitney Medium Neon Checkerboard Logo Satchel Crossbody White/Pink,228.0,Michael Kors,OS
Charlotte Russe faux snakeskin envelope bag,32.0,Charlotte Russe,OS
Everlane grey Dopp kit/toiletry bag/cosmetic bag,32.0,Everlane,OS
"Real Leather and Cow Fur Handbag
          
      NWT",45.0,Aimee Kestenberg,OS
The Sak Limited Edition Nomad 120 Hand Crocheted Hobo Bag Blue 41 of 300,49.0,The Sak,OS
Anthropologie Lamarque Zoey Sherpa Fleece Leather Tote In Black Shoulder Bag,32.0,Anthropologie,OS
Melt Y2K Black Faux Leather Fanny Pack Waist Bag Belt Bag Festival Bum Bag,32.0,Meltin Pot,OS
NWT Karl lagerfeld Paris Maybelle tote bag with heart design,199.0,Karl Lagerfeld,"14"" x 10"""
"Michael Kors, gold purse",26.0,Michael Kors,OS
Brighton Mallory Black Brown Leather Shoulder Bag Handbag Purse Heart Dangle,100.0,Brighton,OS
"J Crew Purse Leather Envelope Clutch Chain Strap Blue Turquoise NWT
          
      NWT",70.0,J.CREW,OS
Brown leather croco embossed double handle dome 1975 satchel Dooney & Bourke,180.0,Dooney & Bourke,OS
Michael Kors Gray Leather Strap with Silver Chain - EUC,25.0,Michael Kors,OS
Kate Spade New York Multicolored Stripe Wallet,30.0,kate spade,OS
"Michael Kors Gigi Small Messenger Crossbody Bag
          
      NWT",118.0,Michael Kors,"10""W X65""HX3.25""D"
"Coach Brown Hobo Bag with Signature Monogram Classic
Mobwife Career",50.0,Coach,OS
Coach Signature C Gray Blue Adjustable Slim Crossbody Bag,32.0,Coach,OS
"Womens INC INTERNATIONAL CONCEPTS BAG
          
      NWT",69.0,INC International Concepts,OS
"NWT Evening clutch leopard print.
          
      NWT",35.0,,OS
Tiganrllo Leather purse,20.0,Tignanello,OS
Elizabeth Arden Women's Cosmetic Handbag,11.0,Elizabeth Arden,OS
"Organic straw Woven Large Beach Bag New
          
      NWT",29.0,handmade,OS
"New Brahmin Lennon Blue Filigree wallet
          
      NWT",99.0,Brahmin,OS
Tory Burch smooth Black Leather Timeless with dust bag,170.0,Tory Burch,Approx 11.25x15 HD 9
Coach Hampton Legacy Gallery Black Patent Leather Tote Bag,130.0,Coach,OS
